id,name,district,submarket,submarketSource,address,propertyType,publicBuildingType,buildingForm,buildingFormStatus,buildingFormSource,builtYear,builtYearSource,unitPrice,unitPriceSource,priceType,sellCount,source,sourceName,detailStatus
"gotohui-1626376","绿地华侨城海珀滨江一期","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","50826","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1626376","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-327903","名郡花园","建邺","河西中部","公开地址归并板块","南京建邺区集庆门大街","住宅","联体别墅|别墅","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2012","聚汇数据小区详情页建筑年代","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/327903","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-250755","茗芳苑","建邺","兴隆","公开地址归并板块","建邺兴隆大街","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2014","聚汇数据小区详情页建筑年代","64027","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/250755","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1484589","魔方公寓(建邺区长虹路)","建邺","南湖","公开地址归并板块","建邺南湖","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","38710","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1484589","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1484577","南湖路42号","建邺","应天西路","公开地址归并板块","建邺应天西路","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","25673","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1484577","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-249589","南京海峡城","建邺","","","","小区","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/249589","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1548730","南京金奥中心","建邺","河西中部","公开地址归并板块","建邺江东中路333号","标准写字楼","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","32667","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1548730","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1548668","南京金融城","建邺","河西中部","公开地址归并板块","建邺江东中路与雨润大街交汇处","写字楼商铺","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/1548668","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-250778","南京生态岛一期经济适用房","建邺","应天西路","公开地址归并板块","建邺应天西路","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2016","聚汇数据小区详情页建筑年代","52088","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/250778","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1251632","南京世界贸易中心","建邺","奥体","公开地址归并板块","南京建邺区庐山路208号","旅馆酒店式公寓办公住宅商铺","高层(1幢)","高层","公开详情页明确提供住宅形态字段","聚汇数据小区详情页建筑类型","2013","聚汇数据小区详情页建筑年代","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/1251632","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
